net,length_um
wbs_dat_i[11],15.78
io_oeb[20],15.7
io_oeb[21],15.7
io_out[17],15.7
io_out[18],15.7
io_out[21],15.7
wbs_dat_o[16],15.7
wbs_dat_o[17],15.7
wbs_dat_o[18],15.7
wbs_dat_o[19],15.7
_187_,15.64
_210_,15.62
_194_,15.58
_096_,15.52
_225_,15.52
_251_,15.5
_215_,15.48
_285_,15.48
wbs_dat_o[9],15.48
net313,15.48
_204_,15.44
wbs_dat_i[26],15.36
net187,15.36
net67,15.34
net843,15.34
net863,15.3
net1063,15.3
_300_,15.26
net211,15.26
io_oeb[18],15.24
io_out[16],15.24
wbs_dat_i[10],15.24
wbs_dat_i[16],15.24
net351,15.22
net432,15.14
net821,15.14
wbs_dat_o[8],15.02
_049_,15
net637,14.96
_120_,14.92
net75,14.8
net460,14.76
wbs_dat_o[7],14.56
net529,14.56
io_out[20],14.54
net74,14.5
net487,14.46
wbs_dat_i[5],14.44
wbs_dat_i[9],14.44
_160_,14.42
_167_,14.42
net755,14.34
net576,14.12
net904,14.12
_121_,14.08
io_oeb[19],14.08
io_out[19],14.08
_268_,14.06
net730,14
_050_,13.92
_150_,13.92
net1316,13.9
net79,13.66
net70,13.58
net853,13.54
_109_,13.5
wbs_dat_i[8],13.48
net519,13.46
net1243,13.46
_119_,13.4
io_oeb[17],13.4
io_out[15],13.4
net667,13.36
net391,13.32
net284,13.28
net756,13.22
wbs_ack_o,13.18
wbs_dat_o[2],13.18
net92,13.16
net102,13.16
net443,13.16
net493,13.16
_189_,13.13
net182,13.1
wbs_dat_i[14],13.06
wbs_dat_i[1],13.06
net511,13.04
net532,13.04
la_oenb[13],13.01
net183,12.98
net1135,12.96
_290_,12.88
net1028,12.88
net469,12.84
_250_,12.76
_294_,12.76
net360,12.76
wbs_dat_o[15],12.72
wbs_dat_o[4],12.72
wbs_dat_o[5],12.72
_130_,12.7
net523,12.66
_031_,12.62
net277,12.6
net1215,12.58
_289_,12.54
_297_,12.5
net802,12.4
net1008,12.34
_209_,12.3
_258_,12.28
net810,12.28
_029_,12.26
io_out[22],12.24
_111_,12.18
net1147,12.16
net1301,12.16
wbs_dat_i[13],12.14
net180,12.14
net515,12.08
net257,11.96
net812,11.96
net1009,11.92
_165_,11.82
wbs_dat_o[14],11.8
wbs_dat_o[1],11.8
net179,11.8
net338,11.8
net901,11.79
la_oenb[10],11.73
la_oenb[12],11.73
la_oenb[8],11.73
_170_,11.72
net317,11.7
_201_,11.68
net292,11.68
net278,11.68
wbs_cyc_i,11.68
wbs_dat_i[4],11.68
wbs_we_i,11.68
net942,11.66
net110,11.62
net118,11.62
net1192,11.59
net823,11.58
io_out[23],11.56
net822,11.5
net1360,11.5
net396,11.48
net754,11.38
net960,11.38
net1062,11.36
_114_,11.32
net792,11.32
_272_,11.24
net521,11.24
net806,11.24
_267_,11.22
wbs_dat_i[12],11.22
wbs_dat_i[15],11.22
wbs_dat_i[3],11.22
net473,11.2
net937,11.2
_148_,11.16
net188,11.12
net816,11.12
net813,11.04
net947,11.04
net648,11.02
net809,10.92
net1102,10.92
io_oeb[11],10.91
io_oeb[3],10.91
io_oeb[7],10.91
io_out[10],10.91
io_out[14],10.91
io_out[2],10.91
io_out[6],10.91
wbs_dat_o[13],10.88
net178,10.88
_153_,10.86
_179_,10.78
net320,10.78
net270,10.76
net271,10.76
net281,10.76
net282,10.76
net283,10.76
net285,10.76
net286,10.76
net287,10.76
net288,10.76
net289,10.76
net290,10.76
net272,10.76
net291,10.76
net293,10.76
net294,10.76
net295,10.76
net296,10.76
net297,10.76
net298,10.76
net299,10.76
net300,10.76
net273,10.76
net301,10.76
net302,10.76
net274,10.76
net275,10.76
net276,10.76
net279,10.76
net280,10.76
net303,10.76
net304,10.76
net305,10.76
wb_rst_i,10.76
wbs_dat_i[0],10.76
